Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
tvOnenews,@tvOneNews,2024-10-13T16:38:05.000Z,True,"Kepolisian Negara Republik Indonesia (Polri) menyiagakan sebanyak 15 ribu personel dalam rangka Operasi Mantap Brata 2024 untuk pengamanan tahap pengambilan sumpah Prabowo Subianto dan Gibran Rakabuming Raka, sebagai Presiden dan Wakil Presiden RI.

Saksikan Program Indonesia",1,0,3,890,[],[],[],https://pbs.twimg.com/profile_images/1811001498689753089/p2l374M3_normal.jpg,https://x.com/tvOneNews/status/1845504292515639731,tweet_id:1845504292515639731
Ayuna Haura,@AyunaHaura,2024-10-13T16:37:50.000Z,False,Ngomongin fufufafa ya pak?,0,0,0,37,[],[],[],https://pbs.twimg.com/profile_images/1631206236514574337/wMyXP6Nv_normal.png,https://x.com/AyunaHaura/status/1845504229064286589,tweet_id:1845504229064286589
Mang Kacak,@MangKacak18806,2024-10-13T16:37:37.000Z,False,"Dan anda musuh saya kalau anda tidak menguntungkan saya,,dan liat juga postingannya itu tahun berapa dan bagaimana posisi PSI waktu itu terhadap Prabowo,cuma orang bodoh yang terhasut dengan postingan anda..",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1827034227747237888/6R86L46e_normal.png,https://x.com/MangKacak18806/status/1845504174479528034,tweet_id:1845504174479528034
Susanti Rika,@susanti_rika4,2024-10-13T16:37:37.000Z,False,Prabowo dan Gibran memahami bahwa bangsa yang kuat dimulai dari anak-anak yang sehat dan bergizi baik. #MakanBergiziUntukBangsa,0,0,0,6,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1687373317551030272/Mg-4oS_A_normal.jpg,https://x.com/susanti_rika4/status/1845504172608848183,tweet_id:1845504172608848183
Supriyanto,@Supri_Sinto,2024-10-13T16:37:20.000Z,False,"Masih ada pilkada bang, kali aja calon yg diendors  bisa menang kek pak prabowo ",0,0,0,4,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1585612068543430656/95Qnd7P__normal.jpg,https://x.com/Supri_Sinto/status/1845504101238632644,tweet_id:1845504101238632644
Caaadddd,@PunyaIcadd,2024-10-13T16:36:38.000Z,False,tidak lupa bersama fufufafa juga pak,0,0,0,45,[],[],[],https://pbs.twimg.com/profile_images/1614273818922737664/kygJ7keD_normal.jpg,https://x.com/PunyaIcadd/status/1845503928349442326,tweet_id:1845503928349442326
matapena76,@penatumpul76,2024-10-13T16:36:13.000Z,False,"Prabowo semobil dengan gibran...dimana keretakan hubungan keduanya. Pasukan pembenci auto kejang"" ",1,0,0,82,[],[],['\\U0001f92a'],https://pbs.twimg.com/profile_images/1827145064738648064/F405xBSk_normal.jpg,https://x.com/penatumpul76/status/1845503823118520466,tweet_id:1845503823118520466
Fakhrizal Haq,@fakhricentris,2024-10-13T16:36:04.000Z,False,"Atas persetujuan DPR RI, TNI melalui  dapat anggaran gede dari negara, Rp 139,27 triliun. 

Apa susahnya minta maaf terus ganti. Ngapain  melototin warga negara yang bayar pajak? Atau denial? Repot, repot.   ",0,0,0,29,[],"['@Kemhan_RI', '@kamto_adi', '@prabowo', '@meutya_hafid']",['\\U0001f972'],https://pbs.twimg.com/profile_images/1828443930591141888/SFAAyqtk_normal.jpg,https://x.com/fakhricentris/status/1845503784090485183,tweet_id:1845503784090485183
RYAN,@krusjhev,2024-10-13T16:36:03.000Z,False,Iya 2-2 nya BBJ yg resmi kepresidenan itu kode nya A-001 dan yg punya prabowo itu baru bikin livery nya kode nya PK-GRD buat gantiim pesaway yang PJJ yg jaman soeharto,0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1112902226895228928/8YkEVxX__normal.jpg,https://x.com/krusjhev/status/1845503779933745560,tweet_id:1845503779933745560
mulyono downfall,@endangbambhang,2024-10-13T16:36:02.000Z,False,Anjir ,0,0,1,60,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1827629557903753216/awGPlxlj_normal.jpg,https://x.com/endangbambhang/status/1845503776662401508,tweet_id:1845503776662401508
VOI Media,@MediaVoi,2024-10-13T16:35:49.000Z,False,Wapres Maruf Berharap Pemerintahan Prabowo-Gibran Lanjutkan Tonggak Pembangunan,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1828627997080883201/UOXDyUuN_normal.jpg,https://x.com/MediaVoi/status/1845503718730383556,tweet_id:1845503718730383556
Komah Nimana,@komah_nimana,2024-10-13T16:35:47.000Z,False,Terima kasih Prabowo-Gibran Program ini bantu wujudkan generasi yang sehat #MakanBergiziUntukBangsa,0,0,0,8,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1681875252945768448/JyU896x1_normal.jpg,https://x.com/komah_nimana/status/1845503711336182267,tweet_id:1845503711336182267
ASSAYYID AL HASS,@acehlon90,2024-10-13T16:35:46.000Z,False,Menurut kabar angin mas imin malah jadi mentri agama di pemerintahan prabowo.,0,0,0,2,[],[],['\\U0001f60e'],https://pbs.twimg.com/profile_images/1845316814810775552/3Pj3euEw_normal.jpg,https://x.com/acehlon90/status/1845503708471407102,tweet_id:1845503708471407102
ᵉˡᵉˣᵗʳᵃ ۞,@beembooss,2024-10-13T16:35:31.000Z,False,"Ternyata tim bocor alus tajam juga ya investigasinya, pendengung keberhasilan mulyono berbayar 15M itu beneran nyata adanya, 10 thn uang pajak kita terbuang sia2 demi buzzer2 piaraan, moga pak  gak mengambil langkah yg sama.",0,0,3,361,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1716556470832218112/LJEjYHfF_normal.jpg,https://x.com/beembooss/status/1845503643371626950,tweet_id:1845503643371626950
Sugi,@Sgm_mks,2024-10-13T16:35:27.000Z,False,"           Bang Ahmad Dhani, 

Maksudnya Jokowi Pengkhianat, 
Turun ke Gibran Pengkhianat juga yah",0,0,0,20,[],"['@kaesangp', '@bobbynasution_', '@fadlizon', '@bang_dasco', '@habiburokhman', '@deddysitorus', '@grace_nat', '@RajaJuliAntoni', '@prastow', '@RahayuSaraswati', '@airlangga_hrt', '@gibran_tweet', '@bahlillahadalia']",[],https://pbs.twimg.com/profile_images/1759667451451875331/l2Zcr6Ak_normal.jpg,https://x.com/Sgm_mks/status/1845503628049871353,tweet_id:1845503628049871353
who?,@urdl__,2024-10-13T16:35:24.000Z,False,gue 19 oktober abis haha hihi nyanyi bareng day6 besokannya lgsg official prabowo fufufafa shit mannnn,0,0,0,47,[],[],[],https://pbs.twimg.com/profile_images/1831189004622168064/zI6j4w6e_normal.jpg,https://x.com/urdl__/status/1845503617580855542,tweet_id:1845503617580855542
Papua Bagian NKRI,@PapuaBagianNKRI,2024-10-13T16:34:58.000Z,False,"Pendekatan humanis dan dialog menjadi strategi Prabowo dalam penyelesaian konflik di Papua
Papua aman Papua maju#JagaTerusPapua",3,0,0,8,['#JagaTerusPapua'],[],[],https://pbs.twimg.com/profile_images/1617772918490161158/YYOxH0El_normal.jpg,https://x.com/PapuaBagianNKRI/status/1845503508847763573,tweet_id:1845503508847763573
