Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Wiwin Puji,@wiwinpuji23,2024-10-13T15:24:54.000Z,False,drama doang  hati prabowo gak ketemu jokowi gibran,0,0,0,12,[],[],[],https://pbs.twimg.com/profile_images/1720356199189893120/pqDbCuHp_normal.png,https://x.com/wiwinpuji23/status/1845485875951804587,tweet_id:1845485875951804587
Ade Hidayatulloh,@LynyrdSkynyrd25,2024-10-13T15:24:33.000Z,False,dengan system indonesia  sehat jokowi prabowo ,0,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1836698782282698752/Ery-fFMu_normal.jpg,https://x.com/LynyrdSkynyrd25/status/1845485784637509633,tweet_id:1845485784637509633
Halomoan Siagian,@HalomoanHa91790,2024-10-13T15:24:30.000Z,False,nasdem udah bayang ruwet fufufafa n prabowo  ,0,0,0,46,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1842534996932014080/UScxzKx0_normal.jpg,https://x.com/HalomoanHa91790/status/1845485774114070623,tweet_id:1845485774114070623
Fadil R,@fadilr48,2024-10-13T15:24:30.000Z,False, rumah fufufafa  disuguhin kroto ga  ,0,0,0,0,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1840014961881559040/kmXnstcj_normal.jpg,https://x.com/fadilr48/status/1845485772297916915,tweet_id:1845485772297916915
susilawatisisi27,@susilawati66974,2024-10-13T15:24:20.000Z,False,pimpin indonesia tata apik  stabil ,0,0,0,3,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1829770998578864128/gqUiixHw_normal.jpg,https://x.com/susilawati66974/status/1845485729973215574,tweet_id:1845485729973215574
Om YR,@yeer28,2024-10-13T15:24:06.000Z,False,prabowo panggil meet sbg menhan  gibran meet kapasita    ,0,0,1,73,[],[],[],https://pbs.twimg.com/profile_images/1713442489729003520/8qFHQlUb_normal.jpg,https://x.com/yeer28/status/1845485674180268383,tweet_id:1845485674180268383
Aby,@abybay14,2024-10-13T15:24:04.000Z,True,senin ,0,0,1,123,[],[],[],https://pbs.twimg.com/profile_images/1337819811158495233/msmCgnQ4_normal.jpg,https://x.com/abybay14/status/1845485662532940224,tweet_id:1845485662532940224
Murdi Anto,@murdi_anto23,2024-10-13T15:24:03.000Z,False,program  prabowo upaya jadi sehat anak priorita   makanbergiziuntukbangsa,0,0,0,2,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1684480267585748992/HajTEG-t_normal.jpg,https://x.com/murdi_anto23/status/1845485659668328545,tweet_id:1845485659668328545
Penggemar Bpk Prabowo,@lordprabowo,2024-10-13T15:24:02.000Z,False,pesan ua kpd bpk prabowo  potong video ke2 ,0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1845418079033098241/mEOr5PaZ_normal.jpg,https://x.com/lordprabowo/status/1845485657826927008,tweet_id:1845485657826927008
Ryo ヤンティ,@ryo72028,2024-10-13T15:23:58.000Z,False,order promosiin abah biar jd wapr tr ngarep prabowo bentar doank jd presiden  abah ngebe beud jd presiden  halu sudah  nikmat 5 taon sakit ati yakk  abah msh anggur noh ,0,0,0,8,[],[],[],https://pbs.twimg.com/profile_images/1744824554114174976/qOqyUzJn_normal.jpg,https://x.com/ryo72028/status/1845485639082664341,tweet_id:1845485639082664341
idris,@idrisbue_,2024-10-13T15:23:47.000Z,False,presiden jokowi ngobrol santai presiden wakil presiden pilih prabowo-gibran ,0,2,2,31,[],[],[],https://pbs.twimg.com/profile_images/1825813423277617156/etiRB0Oh_normal.jpg,https://x.com/idrisbue_/status/1845485594933346770,tweet_id:1845485594933346770
Ade Hidayatulloh,@LynyrdSkynyrd25,2024-10-13T15:23:43.000Z,False,transfer knowledg yak presiden presiden  harap penuh prabowo indonesia nyala  anggur tembu 10 juta  daya beli masyarakat turun  usaha gencar nya phk  apa,1,0,1,1K,[],"['@jokowi', '@prabowo']","['\\U0001f525', '\\U0001f525']",https://pbs.twimg.com/profile_images/1836698782282698752/Ery-fFMu_normal.jpg,https://x.com/LynyrdSkynyrd25/status/1845485574205133235,tweet_id:1845485574205133235
sanz.,@m_ihsanzz,2024-10-13T15:23:36.000Z,False,diskusi fufufafa,0,0,1,152,[],[],[],https://pbs.twimg.com/profile_images/1632363063742697472/7WDhOQX7_normal.jpg,https://x.com/m_ihsanzz/status/1845485544891166906,tweet_id:1845485544891166906
Setiawan Abdul,@setiawan_abdl,2024-10-13T15:23:23.000Z,False,anak sehat indonesia terima kasih prabowo-gibran  makanbergiziuntukbangsa,0,0,0,9,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1694985675031076864/ymbFF_CB_normal.jpg,https://x.com/setiawan_abdl/status/1845485490860130378,tweet_id:1845485490860130378
PMP π π,@rafa_brilli2014,2024-10-13T15:23:03.000Z,False,moga bpk jg baca buku yg baca prabowo spi nyambung diskusi ya ,0,0,0,271,[],[],[],https://pbs.twimg.com/profile_images/1803865521399742464/1O7eBdqf_normal.jpg,https://x.com/rafa_brilli2014/status/1845485410161659911,tweet_id:1845485410161659911
𝐚𝐬𝐭𝐫𝐨 🅴,@BpkBcw,2024-10-13T15:22:51.000Z,False,liat bgt settingannya,0,0,0,48,[],[],[],https://pbs.twimg.com/profile_images/1784876785613598720/YTtA4J6b_normal.jpg,https://x.com/BpkBcw/status/1845485358705955193,tweet_id:1845485358705955193
up2you!,@kumasia2023,2024-10-13T15:22:46.000Z,False,cawe2  nitip nak lanang ,0,0,0,88,[],[],[],https://pbs.twimg.com/profile_images/1638432308758986752/I6vfX5e8_normal.jpg,https://x.com/kumasia2023/status/1845485338195849693,tweet_id:1845485338195849693
𝕭𝖊𝖑𝖆𝖑𝖆𝖓𝖐 𝕶𝖆𝖉𝖔𝖊𝖙™,@irfanz777,2024-10-13T15:22:45.000Z,False,dukung gibran dukung fufufafa hina prabowo keluarga  hina damping orang yg hina  hellooo  puja puji yg cairrr ,1,1,1,11,[],[],['\\U0001f605'],https://pbs.twimg.com/profile_images/1774041051143327744/xkKb5KAd_normal.jpg,https://x.com/irfanz777/status/1845485331128492247,tweet_id:1845485331128492247
Agustinus Topik,@AgustinusTopik,2024-10-13T15:22:33.000Z,False,bener  seriu gak ya nadem  gerangan dgn nasdem deal capai meter yg  jd luar  bagu jg bs koreksi perintah nti 20 okt ,0,0,0,113,[],"['@NasDem', '@prabowo', '@Gerindra']",[],https://pbs.twimg.com/profile_images/1513456682847940617/1TbUBJvM_normal.jpg,https://x.com/AgustinusTopik/status/1845485280679350340,tweet_id:1845485280679350340
miko aulia,@mikkaulia,2024-10-13T15:22:30.000Z,False,menganalisa pa prabowo pake pikir sok paham  pa prabowo dah ubah uni mah tetep aja dangkal nya ga ubah 2014 ,0,0,2,672,[],[],[],https://pbs.twimg.com/profile_images/1252239441579479041/yp249OE5_normal.jpg,https://x.com/mikkaulia/status/1845485271325999249,tweet_id:1845485271325999249
Wiwin Puji,@wiwinpuji23,2024-10-13T15:22:23.000Z,False,hati prabowo ogah ketemu jokowi lancar ya gpp kalah,0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1720356199189893120/pqDbCuHp_normal.png,https://x.com/wiwinpuji23/status/1845485241814962258,tweet_id:1845485241814962258
Media Indonesia,@mediaindonesia,2024-10-13T15:22:21.000Z,True,presiden joko widodo  jokowi  jamu menteri tahan presiden pilih  prabowo subianto  sumber  banjarsari  solo  jawa  minggu  13 10  ,0,0,0,454,[],[],[],https://pbs.twimg.com/profile_images/1743523592569229312/Am6sPQip_normal.jpg,https://x.com/mediaindonesia/status/1845485232830755203,tweet_id:1845485232830755203
punk,@Purnomo09446763,2024-10-13T15:22:08.000Z,False,prabowo menhan  terima arah ,0,0,0,37,[],[],[],https://pbs.twimg.com/profile_images/1508739307913109508/-p7BgZOz_normal.jpg,https://x.com/Purnomo09446763/status/1845485179575644585,tweet_id:1845485179575644585
Lik Waridin,@noanggio,2024-10-13T15:21:44.000Z,False,gak enak,0,0,0,217,[],[],[],https://pbs.twimg.com/profile_images/1350652711004303361/yhB5Xsrs_normal.jpg,https://x.com/noanggio/status/1845485076995506571,tweet_id:1845485076995506571
Saniyah Hilah,@sani_hilah23,2024-10-13T15:21:22.000Z,False,prabowo-gibran komitmen sejahtera anak indonesia program   makanbergiziuntukbangsa,0,0,0,5,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1692390258602823681/C6t5H3pU_normal.jpg,https://x.com/sani_hilah23/status/1845484982980235363,tweet_id:1845484982980235363
DDhypeNews,@ddhype_com,2024-10-13T15:21:20.000Z,False,jokowi unggah foto bareng prabowo-gibran  diskusi pekan  presiden jokowi bagi momen temu presiden pilih prabowo subianto serta wakil  gibran rakabum  media sosial ,0,0,0,9,[],[],[],https://pbs.twimg.com/profile_images/1059617151349272577/L9q4SY9d_normal.png,https://x.com/ddhype_com/status/1845484976672018438,tweet_id:1845484976672018438
DDhypeNews,@ddhype_com,2024-10-13T15:21:19.000Z,False,dorong ekonomi 8   usaha muda tawar 8 aksi nyata prabowo  repna lanjut rangkai acara ada repna nation confer award night  hadir presiden pilih prabowo subianto ,0,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1059617151349272577/L9q4SY9d_normal.png,https://x.com/ddhype_com/status/1845484972045664534,tweet_id:1845484972045664534
